cvss_score,exploit_available,patch_available,days_since_disclosure,exposure,category,attack_probability,attack_likelihood
8.0,0,1,78,Internal,Open Port / Unnecessary Service,0.3816125429365727,Medium
9.8,1,1,462,External,Cross-Site Scripting (XSS),0.9077475738417247,High
4.3,1,1,362,External,Sensitive Data Exposure,0.6301329649202805,Medium
3.0,1,0,772,External,Sensitive Data Exposure,0.6127310273086708,Medium
7.8,0,1,401,External,Sensitive Data Exposure,0.5685455711114337,Medium
2.8,0,0,492,External,Cross-Site Scripting (XSS),0.4256520619515339,Medium
7.7,1,0,815,External,Weak Authentication,0.8649301160097635,High
2.7,0,1,297,External,Outdated Software / Missing Patch,0.3170559052098177,Low
4.9,1,1,88,External,Weak Authentication,0.6436175086981928,Medium
8.2,0,0,216,Internal,Open Port / Unnecessary Service,0.4957066248327763,Medium
2.8,0,1,702,External,Open Port / Unnecessary Service,0.3164211120657899,Low
8.0,0,1,34,Internal,Cross-Site Scripting (XSS),0.38922453821951125,Medium
7.0,0,1,72,External,Broken Access Control,0.43217729564991664,Medium
6.0,1,0,542,External,SQL Injection,0.7919656137114585,High
2.9,0,1,32,Internal,Outdated Software / Missing Patch,0.10817181214377886,Low
3.5,0,1,114,External,Insecure Direct Object Reference,0.3437756439650647,Low
7.0,0,1,289,Internal,Cross-Site Scripting (XSS),0.3330416609296385,Low
1.8,1,1,645,External,Cross-Site Scripting (XSS),0.5022104957850789,Medium
2.4,1,1,150,Internal,Weak Authentication,0.32723791021549126,Low
6.7,0,0,308,External,Cross-Site Scripting (XSS),0.5557514990801675,Medium
9.2,1,0,688,External,Remote Code Execution,0.9526293312481394,High
7.5,0,0,72,External,SQL Injection,0.5777198547350315,Medium
5.1,0,0,727,Internal,Insecure Direct Object Reference,0.4345920796087993,Medium
8.7,1,1,597,External,Misconfigured Server,0.8750028824319563,High
6.3,1,0,681,Internal,Misconfigured Server,0.535775209385035,Medium
5.4,0,0,610,External,Cross-Site Scripting (XSS),0.43243822659050524,Medium
2.5,1,1,402,External,Weak Authentication,0.5260947287305752,Medium
1.2,1,1,420,Internal,Broken Access Control,0.3062238127545156,Low
5.4,0,1,145,External,Insecure Direct Object Reference,0.4117377054304861,Medium
3.4,0,1,764,Internal,Misconfigured Server,0.20631054099557264,Low
8.4,1,0,272,Internal,Insecure Direct Object Reference,0.8490030488636636,High
7.1,0,1,657,External,Broken Access Control,0.4503989618653859,Medium
2.0,1,0,213,External,SQL Injection,0.5829530829769834,Medium
4.3,1,1,866,External,Weak Authentication,0.7437496914857277,High
3.6,0,0,892,Internal,Remote Code Execution,0.3438907053656479,Low
1.4,0,1,137,External,Sensitive Data Exposure,0.2537642797299242,Low
9.0,1,1,423,External,Weak Authentication,0.8027996814156269,High
7.0,0,0,663,Internal,Broken Access Control,0.3694295747905507,Medium
9.4,0,0,61,Internal,Sensitive Data Exposure,0.5347621261000259,Medium
2.6,1,1,41,Internal,Cross-Site Scripting (XSS),0.3747284821688551,Medium
8.0,1,1,390,Internal,Cross-Site Scripting (XSS),0.5702990639544381,Medium
3.1,0,1,872,External,Cross-Site Scripting (XSS),0.3037831113554163,Low
7.2,1,0,778,External,Sensitive Data Exposure,0.863620038235861,High
7.7,0,0,510,Internal,Remote Code Execution,0.42759575218029444,Medium
3.7,0,1,283,Internal,Remote Code Execution,0.17730872382961135,Low
9.3,0,1,134,Internal,Open Port / Unnecessary Service,0.43071859581791716,Medium
2.3,0,1,150,External,Insecure Direct Object Reference,0.26361264518610766,Low
8.2,0,1,762,Internal,SQL Injection,0.3860187504176176,Medium
8.5,1,0,301,External,Insecure Direct Object Reference,0.9289096258115134,High
8.8,1,1,107,External,Weak Authentication,0.846502792158561,High
6.9,1,1,478,Internal,Outdated Software / Missing Patch,0.6030979707838837,Medium
7.7,1,0,793,External,SQL Injection,0.8496440441860402,High
2.3,1,0,831,External,Cross-Site Scripting (XSS),0.6862492808559386,High
2.5,0,0,410,Internal,Cross-Site Scripting (XSS),0.21020577685442518,Low
1.5,0,0,386,External,Insecure Direct Object Reference,0.3829024753588437,Medium
4.5,0,1,662,External,Sensitive Data Exposure,0.3356884069339056,Low
1.4,0,0,206,External,Outdated Software / Missing Patch,0.3701678046008835,Medium
4.7,0,1,833,Internal,Insecure Direct Object Reference,0.2567746050470038,Low
8.5,0,1,620,External,SQL Injection,0.5045069999277237,Medium
9.1,1,1,521,External,Broken Access Control,0.8227494708461021,High
8.0,0,1,291,External,Insecure Direct Object Reference,0.5288717806052439,Medium
5.2,0,1,225,Internal,Outdated Software / Missing Patch,0.2601395669582227,Low
5.3,0,0,305,Internal,Weak Authentication,0.30633503819739555,Low
3.9,0,1,212,External,Outdated Software / Missing Patch,0.2819091254195181,Low
9.2,0,0,414,External,Insecure Direct Object Reference,0.696979226642354,High
6.9,1,1,689,Internal,Open Port / Unnecessary Service,0.5754402969337876,Medium
7.6,0,1,453,Internal,Sensitive Data Exposure,0.378941947253178,Medium
6.5,0,1,523,External,SQL Injection,0.5095315316794745,Medium
2.2,1,1,366,External,Insecure Direct Object Reference,0.43689396501578587,Medium
8.2,1,0,649,Internal,Insecure Direct Object Reference,0.7677749613814363,High
6.5,0,1,8,External,Insecure Direct Object Reference,0.5041767928212311,Medium
5.7,1,1,466,External,Misconfigured Server,0.6675125466703653,High
9.4,0,0,649,External,SQL Injection,0.6685148263936771,High
4.8,1,1,657,External,Weak Authentication,0.6901121913589796,High
7.9,0,1,479,Internal,Weak Authentication,0.39478343692151824,Medium
2.3,1,1,664,External,Weak Authentication,0.5851830424277669,Medium
6.0,1,1,551,Internal,Misconfigured Server,0.5333503256085472,Medium
9.9,1,1,381,External,Cross-Site Scripting (XSS),0.7925757529805562,High
6.7,0,1,30,Internal,Open Port / Unnecessary Service,0.2976661284311041,Low
5.1,1,0,871,External,Misconfigured Server,0.7555974812383274,High
3.7,1,1,490,External,Cross-Site Scripting (XSS),0.6324884133246009,Medium
8.9,0,1,39,External,Cross-Site Scripting (XSS),0.5623483090855244,Medium
7.0,1,0,612,Internal,Sensitive Data Exposure,0.6174575383782449,Medium
3.2,0,1,727,External,Cross-Site Scripting (XSS),0.27463073488372897,Low
6.9,0,0,141,External,SQL Injection,0.6125227851626961,Medium
8.2,0,1,221,External,SQL Injection,0.5652660286486701,Medium
9.4,1,1,737,Internal,Sensitive Data Exposure,0.6819322761490201,High
2.8,0,1,486,External,Broken Access Control,0.302947560171636,Low
8.7,0,1,48,Internal,Cross-Site Scripting (XSS),0.4164453443554759,Medium
7.4,1,1,458,External,SQL Injection,0.7818646612368084,High
1.4,1,1,370,Internal,Cross-Site Scripting (XSS),0.3773676653612731,Medium
2.7,1,1,489,External,Broken Access Control,0.5614909480277447,Medium
6.2,0,1,487,External,Weak Authentication,0.4513141386071307,Medium
7.3,1,1,142,External,Cross-Site Scripting (XSS),0.7234464856494965,High
4.6,0,0,876,Internal,Cross-Site Scripting (XSS),0.40845380669332926,Medium
3.7,0,1,361,External,Open Port / Unnecessary Service,0.22401284180162867,Low
4.7,0,1,541,Internal,Weak Authentication,0.2346227893009887,Low
4.8,0,0,86,External,Insecure Direct Object Reference,0.47242778297698074,Medium
7.3,1,1,555,External,Weak Authentication,0.688065885289824,High
5.9,0,1,474,External,Weak Authentication,0.45847401399023574,Medium
7.6,1,1,765,External,Insecure Direct Object Reference,0.7519359493778304,High
8.2,0,1,346,Internal,Misconfigured Server,0.4313444620380096,Medium
1.6,1,0,70,Internal,Outdated Software / Missing Patch,0.41960928468717257,Medium
2.6,0,1,812,External,SQL Injection,0.34556877315058376,Low
8.7,0,0,216,Internal,Open Port / Unnecessary Service,0.5644421802585611,Medium
4.3,1,1,405,Internal,Broken Access Control,0.48514647913567366,Medium
7.2,1,1,833,Internal,Open Port / Unnecessary Service,0.5764917206066356,Medium
2.9,0,0,640,External,Cross-Site Scripting (XSS),0.3403396239703236,Low
9.9,1,1,721,Internal,Remote Code Execution,0.8232247614313741,High
5.0,0,0,752,External,Broken Access Control,0.5112131681184018,Medium
5.2,0,0,220,Internal,Remote Code Execution,0.3117939748405062,Low
3.1,0,1,896,External,Insecure Direct Object Reference,0.34649063218081905,Low
1.8,0,1,768,External,Open Port / Unnecessary Service,0.2640961001425342,Low
7.0,1,0,652,External,Weak Authentication,0.8938293354328566,High
4.0,1,1,478,External,Broken Access Control,0.6082519646774106,Medium
5.5,1,1,109,Internal,Sensitive Data Exposure,0.5042430347364766,Medium
5.5,0,0,20,External,Weak Authentication,0.46288212505946297,Medium
6.7,0,0,285,Internal,Cross-Site Scripting (XSS),0.4408117382707081,Medium
9.3,0,0,129,Internal,Insecure Direct Object Reference,0.4739733305489176,Medium
3.5,1,1,642,External,Remote Code Execution,0.626461138654865,Medium
5.3,1,1,464,External,Broken Access Control,0.7404746534272845,High
8.0,1,0,456,External,Broken Access Control,0.8090990314283758,High
6.0,1,1,97,Internal,Remote Code Execution,0.402077427321323,Medium
7.6,1,0,5,Internal,Cross-Site Scripting (XSS),0.7231217155354939,High
8.0,0,1,773,External,Misconfigured Server,0.6803393352186008,High
4.7,1,0,200,External,Insecure Direct Object Reference,0.6725648686675164,High
9.3,1,0,50,Internal,Weak Authentication,0.7087429898376785,High
2.0,1,1,591,External,Broken Access Control,0.5522817800223571,Medium
7.7,1,0,817,External,Outdated Software / Missing Patch,0.8498528093859735,High
8.7,0,1,237,Internal,Open Port / Unnecessary Service,0.3793653924698298,Medium
4.6,1,1,229,External,Outdated Software / Missing Patch,0.6023163488880333,Medium
4.1,1,0,638,Internal,Insecure Direct Object Reference,0.5965445487590343,Medium
3.5,1,0,611,Internal,SQL Injection,0.5211793263747885,Medium
7.5,1,1,574,External,Outdated Software / Missing Patch,0.7832830308928969,High
2.2,1,1,770,External,Broken Access Control,0.532951114833099,Medium
4.5,1,1,310,Internal,Cross-Site Scripting (XSS),0.4274886670396421,Medium
1.6,0,0,272,External,Misconfigured Server,0.3211197982239501,Low
4.1,0,1,866,External,Broken Access Control,0.3350911278527152,Low
3.6,1,0,504,External,Weak Authentication,0.6903257492934874,High
5.8,1,1,558,Internal,Open Port / Unnecessary Service,0.4858066886217182,Medium
3.2,0,0,312,Internal,Sensitive Data Exposure,0.2066886148685712,Low
6.1,1,1,571,External,Misconfigured Server,0.779070312987485,High
10.0,1,1,604,External,Remote Code Execution,0.8808963445402884,High
2.7,1,0,385,External,Open Port / Unnecessary Service,0.6401937876152867,Medium
5.6,0,0,844,Internal,Remote Code Execution,0.4244657098847698,Medium
1.4,0,0,886,External,Misconfigured Server,0.34117937209477867,Low
3.8,0,0,572,Internal,Weak Authentication,0.29135100940386993,Low
7.3,0,0,441,External,Weak Authentication,0.6242574367665954,Medium
1.0,0,1,147,External,SQL Injection,0.21728745877888675,Low
5.4,0,1,496,External,Broken Access Control,0.3625907192089341,Medium
3.3,0,0,822,External,Misconfigured Server,0.48583379650014974,Medium
3.1,0,1,434,External,SQL Injection,0.2840893639466589,Low
7.4,0,0,287,External,Cross-Site Scripting (XSS),0.5461404969287351,Medium
1.1,0,0,139,External,Cross-Site Scripting (XSS),0.26219846872226965,Low
3.2,1,1,619,Internal,Sensitive Data Exposure,0.4088616216711228,Medium
8.7,1,0,807,External,Broken Access Control,1.0,High
3.3,1,1,871,External,Open Port / Unnecessary Service,0.5381120936428498,Medium
4.3,1,0,493,External,Broken Access Control,0.728892683515606,High
2.9,0,0,741,Internal,SQL Injection,0.1647754487621378,Low
4.1,0,0,593,External,Broken Access Control,0.4673660977871846,Medium
7.6,0,1,133,Internal,Insecure Direct Object Reference,0.39436720976268924,Medium
2.3,1,0,715,External,Insecure Direct Object Reference,0.6313890561191494,Medium
1.0,0,1,520,Internal,Insecure Direct Object Reference,0.042421142694721796,Low
9.1,1,1,149,Internal,Open Port / Unnecessary Service,0.6793533309807047,High
1.5,1,0,309,External,Open Port / Unnecessary Service,0.6196742542241992,Medium
1.2,1,0,762,Internal,Sensitive Data Exposure,0.4795162118842037,Medium
6.5,1,1,676,External,Open Port / Unnecessary Service,0.8286792482520452,High
6.1,1,1,135,External,Misconfigured Server,0.6924583736168137,High
1.1,1,1,385,Internal,Misconfigured Server,0.29126838390124227,Low
9.0,0,1,422,External,Cross-Site Scripting (XSS),0.5721454849451124,Medium
2.6,0,1,885,Internal,Remote Code Execution,0.1625417393856761,Low
5.2,1,1,581,External,Weak Authentication,0.6717146469516837,High
7.7,1,1,854,Internal,Insecure Direct Object Reference,0.6424430537829727,Medium
